"titleId","title"
"ZbZdruDel.1990-07-02.s003-01.toc-item4","Predlog odlokov o ustanovitvi, nalogah in sestavi nekaterih delovnih teles skupščine in njenih zborov (2. točka dnevnega reda): predlog odloka o ustanovitvi, nalogah, sestavi in številu članov Odbora Zbora združenega dela za splošno gospodarske zadeve in predlog kandidatne liste za izvolitev predsednika in članov odbora; predlog odloka o ustanovitvi, nalogah, sestavi in številu članov Odbora Zbora združenega dela za proračun in javne finance in predlog kandidatne liste za izvolitev predsednika in članov odbora; predlog odloka o ustanovitvi, nalogah, sestavi in številu članov Odbora Zbora združenega dela za kreditno-monetarni sistem in politiko ter predlog kandidatne liste za izvolitev predsednika in članov odbora; predlog odloka o ustanovitvi, nalogah, sestavi in številu članov Odbora Zbora združenega dela Skupščine Republike Slovenije za podjetništvo in obrt ter predlog kandidatne liste za izvolitev predsednika in članov odbora; predlog odloka o ustanovitvi, nalogah, sestavi in številu članov Komisije Skupščine Republike Slovenije za spremljanje preobrazbe družbene in zadružne lastnine; predlog odloka o ustanovitvi, nalogah, sestavi in številu članov Komisije Skupščine Republike Slovenije za pripravo in spremljanje poslovnika Skupščine Republike Slovenije"
"ZbZdruDel.1990-07-02.s003-01.toc-item5","Ugotavljanje prisotnosti delegatov"
"ZbZdruDel.1990-07-02.s003-01.toc-item6","Osnutek amandmajev XLIX do LXXII k Ustavi SFRJ (3. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item7","Celovita ocena posledic premestitve orožja Teritorialne obrambe v objekte JLA (4. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item8","Predlog zakona o spremembah in dopolnitvah zakona o urejanju naselij in drugih posegov v prostor (5. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item9","Predlog za izdajo zakona o začasni prepovedi sečnje v gozdovih v družbeni lastnini in začasni prepovedi prometa s kmetijskimi zemljišči in gozdovi in drugimi nepremičninami v družbeni lasti (6. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item10","Predlog za izdajo zakona o spremembah zakona o pokopališčih in pogrebni dejavnosti ter o urejanju pokopališč s predlogom zakona (7. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item11","Predlog za izdajo zakona o spremembah in dopolnitvah zakona o orožju z osnutkom zakona (8. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item12","Predlog za izdajo zakona o funkcionarjih v državnih organih z osnutkom zakona (9. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item13","Predlog za izdajo zakona o ustanovitvi Visoke pravne šole v Mariboru z osnutkom zakona (10. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item14","Osnutek zakona o dopolnitvi zakona o financiranju federacije (11. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item15","Predlog zakona o Gospodarski zbornici Slovenije (12. točka dnevnega reda)"
"ZbZdruDel.1990-07-02.s003-01.toc-item16","Pobude, predlogi in vprašanja delegatov (13. točka dnevnega reda)"
"ZbZdruDel.1990-07-18.s004-01.toc-item1","Ugotavljanje prisotnosti delegatov"
"ZbZdruDel.1990-07-18.s004-01.toc-item2","Določanje dnevnega reda"
"ZbZdruDel.1990-07-18.s004-01.toc-item3","Odobritev zapisnika 3. seje (1. točka dnevnega reda)"
"ZbZdruDel.1990-07-18.s004-01.toc-item4","Predlog odlokov o ustanovitvi, delovnem področju in sestavi nekaterih delovnih teles Skupščine Republike Slovenije in njenih zborov (2. točka dnevnega reda; usklajevanje str. 114)"
"ZbZdruDel.1990-07-18.s004-01.toc-item5","Predlog, da se začne postopek za sprejem Ustave Republike Slovenije (3. točka dnevnega reda)"
"ZbZdruDel.1990-07-18.s004-01.toc-item6","Predlog za začetek postopka za spremembo Ustave Republike Slovenije (4. točka dnevnega reda)"
"ZbZdruDel.1990-07-18.s004-01.toc-item7","Programske usmeritve Izvršnega sveta Skupščine Republike Slovenije (5. točka dnevnega reda, nadaljevanje str. 85, usklajevanje str. 189)"
"ZbZdruDel.1990-07-18.s004-01.toc-item8","Celovita ocena preselitve orožja Teritorialne obrambe v objekte JLA (6. točka dnevnega reda, nadaljevanje, str. 146)"
"ZbZdruDel.1990-07-18.s004-01.toc-item9","Letno poročilo Narodne banke Slovenije za leto 1989, letni obračun Narodne banke Slovenije za leto 1989 in finančni načrt prihodkov in odhodkov Narodne banke Slovenije za leto 1990 (8. točka dnevnega reda)"
"ZbZdruDel.1990-07-19.s004-02.toc-item1","Ugotavljanje prisotnosti delegatov"
"ZbZdruDel.1990-07-19.s004-02.toc-item2","Procedurne zadeve glede: (9., 11., 12., 13., 14. in 15. točke dnevnega reda)"
"ZbZdruDel.1990-07-19.s004-02.toc-item3","Predlog zakona o spremembah zakona o proračunu Republike Slovenije za leto 1990 (9. točka dnevnega reda, nadaljevanje str. 141, usklajevanje str. 173)"
"ZbZdruDel.1990-07-19.s004-02.toc-item4","Programske usmeritve Izvršnega sveta Skupščine Republike Slovenije (nadaljevanje 5. točka dnevnega reda)"
"ZbZdruDel.1990-07-19.s004-02.toc-item5","Predlog zakona o funkcionarjih v državnih organih (10. točka dnevnega reda; usklajevanje str. 186)"
"ZbZdruDel.1990-07-19.s004-02.toc-item6","Predlog zakona o kriterijih in načinu sofinanciranja uresničevanja pravic presežkov delavcev (11. točka dnevnega reda; usklajevanje str. 189)"
"ZbZdruDel.1990-07-19.s004-02.toc-item7","Predlog zakona o spremembah in dopolnitvah zakona o zajamčenem osebnem dohodku ( 12. točka dnevnega reda)"
"ZbZdruDel.1990-07-19.s004-02.toc-item8","Predlog zakona o dopolnitvah zakona o hranilno - kreditnih službah (13. točka dnevnega reda)"
"ZbZdruDel.1990-07-19.s004-02.toc-item9","Predlog za izdajo zakona o spremembah zakona o zagotavljanju sredstev za skupne družbene potrebe v letu 1990 in o proračunu določenih obveznosti iz dohodka za skupne in splošne družbene potrebe za leto 1989 s predlogom zakona (14. točka dnevnega reda)"
